iter	Passed	Remaining
0	3	153
1	4	112
2	7	116
3	10	118
4	12	116
5	15	115
6	18	112
7	20	109
8	23	107
9	24	99
10	35	126
11	39	124
12	49	140
13	51	133
14	53	125
15	56	120
16	60	116
17	62	111
18	64	105
19	67	100
20	69	95
21	70	90
22	112	132
23	115	124
24	117	117
25	119	109
26	121	103
27	124	97
28	127	92
29	129	86
30	132	81
31	135	75
32	137	70
33	138	65
34	179	76
35	183	71
36	184	64
37	187	59
38	191	53
39	193	48
40	196	43
41	198	37
42	201	32
43	205	27
44	207	23
45	247	21
46	250	15
47	253	10
48	256	5
49	258	0
