iter	RMSE
0	11710.12611
1	11361.51019
2	11027.20152
3	10719.56496
4	10401.93998
5	10100.04826
6	9822.22109
7	9545.141253
8	9288.88824
9	9054.024901
10	8833.722849
11	8618.593886
12	8429.646596
13	8226.061424
14	8024.420407
15	7835.461023
16	7640.468042
17	7473.332154
18	7296.101574
19	7138.212541
20	6982.667112
21	6832.456479
22	6707.264152
23	6579.176933
24	6473.111612
25	6360.455607
26	6246.959227
27	6144.576498
28	6042.587719
29	5940.227121
30	5841.21593
31	5769.376721
32	5688.412225
33	5615.356817
34	5544.109041
35	5488.524593
36	5422.676136
37	5367.942464
38	5311.221428
39	5254.265637
40	5204.22909
41	5158.471586
42	5104.204186
43	5056.286703
44	5028.322717
45	4989.361943
46	4948.321657
47	4918.934515
48	4882.946463
49	4851.004827
50	4819.855186
51	4787.74089
52	4757.015363
53	4726.80393
54	4701.720848
55	4676.469284
56	4653.67618
57	4633.747075
58	4614.335133
59	4592.985093
60	4578.674433
61	4560.064813
62	4541.604094
63	4525.003042
64	4509.758712
65	4493.941029
66	4478.631737
67	4464.813431
68	4453.486667
69	4443.879039
70	4434.484748
71	4423.602991
72	4415.758755
73	4405.798396
74	4393.980328
75	4383.579724
76	4380.28195
77	4371.13482
78	4361.762543
79	4352.273506
80	4343.533438
81	4335.239972
82	4329.234375
83	4321.23362
84	4315.184165
85	4308.837108
86	4301.851575
87	4295.775355
88	4289.046268
89	4281.279949
90	4275.412447
91	4269.683999
92	4263.993413
93	4258.478901
94	4254.263078
95	4248.702092
96	4244.166761
97	4238.793876
98	4234.229674
99	4228.655876
100	4223.956344
101	4221.807511
102	4217.9899
103	4213.882935
104	4209.15977
105	4204.560185
106	4198.985032
107	4193.901451
108	4190.422168
109	4186.268984
110	4182.897751
111	4181.417171
112	4177.611091
113	4172.177449
114	4170.006896
115	4168.194539
116	4165.457602
117	4161.66508
118	4159.818655
119	4157.282017
120	4152.792095
121	4149.651113
122	4145.103205
123	4140.511268
124	4136.613088
125	4134.45765
126	4130.961781
127	4128.375095
128	4124.574153
129	4120.18453
130	4117.734504
131	4112.547164
132	4107.768036
133	4105.812314
134	4103.193028
135	4098.92021
136	4097.612737
137	4094.448214
138	4088.364909
139	4087.320415
140	4084.95093
141	4080.915582
142	4078.40732
143	4074.647138
144	4072.172456
145	4069.694262
146	4065.887551
147	4063.79026
148	4061.76705
149	4059.938349
150	4056.898401
151	4054.439254
152	4052.203141
153	4049.098373
154	4047.39473
155	4045.050909
156	4041.815958
157	4040.697578
158	4038.364978
159	4036.039276
160	4032.830711
161	4027.945164
162	4025.421167
163	4022.876596
164	4019.38042
165	4016.438446
166	4014.006806
167	4012.678666
168	4010.52934
169	4006.347725
170	4004.140255
171	4002.818102
172	3999.258094
173	3997.367697
174	3995.580617
175	3992.541665
176	3990.314765
177	3987.983997
178	3982.380341
179	3979.81625
180	3973.783361
181	3970.267647
182	3968.188314
183	3966.319501
184	3963.89237
185	3963.010941
186	3961.607246
187	3960.024336
188	3958.736957
189	3957.019958
190	3954.845216
191	3952.535179
192	3951.476139
193	3949.537599
194	3947.83265
195	3946.018266
196	3945.216284
197	3944.481705
198	3942.243478
199	3939.410245
200	3937.149002
201	3935.889414
202	3934.738667
203	3930.894017
204	3927.126908
205	3924.898258
206	3922.98605
207	3921.228483
208	3919.948833
209	3916.573731
210	3914.324923
211	3910.625976
212	3908.580281
213	3907.569001
214	3907.278725
215	3906.081706
216	3904.870893
217	3903.56048
218	3902.411751
219	3900.736553
220	3900.512723
221	3898.0794
222	3897.248235
223	3896.227342
224	3891.883174
225	3889.708066
226	3889.084485
227	3886.760215
228	3886.068317
229	3884.255806
230	3883.686134
231	3882.885083
232	3876.879371
233	3875.672786
234	3873.465492
235	3872.496981
236	3869.756645
237	3869.3164
238	3867.319282
239	3865.162811
240	3864.205977
241	3863.021958
242	3862.495904
243	3862.330013
244	3858.364931
245	3857.625057
246	3857.033461
247	3854.852562
248	3852.300159
249	3849.788825
250	3848.02503
251	3846.863405
252	3845.498998
253	3844.499775
254	3841.884929
255	3839.683518
256	3838.899498
257	3836.353337
258	3835.82254
259	3834.579735
260	3834.033445
261	3832.751537
262	3831.640806
263	3827.355596
