iter	Passed	Remaining
0	181	181261
1	184	91865
2	185	61632
3	187	46764
4	190	37846
5	192	31896
6	197	28034
7	200	24816
8	202	22287
9	204	20262
10	205	18491
11	208	17126
12	210	15973
13	211	14912
14	214	14056
15	216	13308
16	218	12645
17	220	12050
18	223	11526
19	225	11070
20	228	10639
21	230	10250
22	232	9891
23	233	9509
24	235	9171
25	236	8857
26	240	8657
27	242	8420
28	244	8200
29	247	7996
30	250	7822
31	254	7707
32	257	7537
33	259	7374
34	261	7217
35	264	7075
36	266	6939
37	271	6885
38	274	6759
39	276	6638
40	278	6524
41	281	6416
42	283	6300
43	285	6206
44	286	6088
45	289	5996
46	291	5909
47	293	5825
48	296	5745
49	300	5707
50	302	5635
51	305	5563
52	307	5496
53	309	5429
54	312	5364
55	317	5347
56	319	5285
57	321	5226
58	324	5169
59	326	5115
60	327	5045
61	332	5024
62	334	4973
63	336	4924
64	339	4877
65	341	4831
66	343	4784
67	348	4776
68	350	4734
69	353	4692
70	354	4637
71	356	4599
72	358	4548
73	363	4542
74	365	4508
75	368	4482
76	369	4429
77	372	4405
78	378	4408
79	381	4381
80	383	4349
81	385	4317
82	387	4279
83	389	4248
84	394	4247
85	396	4217
86	399	4188
87	401	4160
88	403	4131
89	407	4124
90	410	4099
91	412	4073
92	415	4048
93	417	4022
94	419	3997
95	424	3996
96	426	3973
97	429	3951
98	431	3929
99	434	3908
100	437	3891
101	439	3868
102	441	3848
103	444	3826
104	446	3806
105	448	3786
106	451	3768
107	455	3760
108	457	3740
109	459	3720
110	462	3701
111	464	3682
112	469	3683
113	471	3664
114	473	3645
115	476	3627
116	478	3610
117	480	3592
118	485	3593
119	487	3576
120	489	3559
121	492	3543
122	494	3526
123	496	3510
124	502	3515
125	504	3500
126	507	3485
127	509	3471
128	512	3460
129	515	3446
130	517	3432
131	519	3418
132	522	3403
133	524	3388
134	528	3389
135	531	3376
136	533	3361
137	535	3347
138	538	3333
139	539	3315
140	544	3319
141	547	3306
142	549	3294
143	551	3280
144	554	3267
145	556	3254
146	561	3256
147	563	3244
148	566	3233
149	568	3220
150	570	3208
151	575	3210
152	578	3200
153	580	3188
154	582	3176
155	584	3164
156	587	3152
157	591	3154
158	594	3143
159	596	3131
160	598	3119
161	601	3108
162	603	3097
163	607	3098
164	610	3087
165	612	3076
166	614	3065
167	616	3054
168	621	3053
169	623	3045
170	625	3034
171	628	3024
172	630	3014
173	632	3003
174	637	3004
175	639	2994
176	641	2984
177	644	2974
178	646	2964
179	648	2955
180	652	2954
181	655	2944
182	657	2934
183	659	2924
184	661	2914
185	663	2904
186	669	2910
187	671	2902
188	674	2894
189	677	2886
190	679	2879
191	685	2882
192	687	2873
193	689	2864
194	691	2856
195	694	2849
196	699	2852
197	701	2842
198	704	2837
199	707	2830
200	710	2824
201	715	2827
202	718	2820
203	721	2813
204	723	2806
205	726	2800
206	732	2806
207	735	2800
208	737	2791
209	740	2784
210	742	2776
211	747	2779
212	750	2771
213	752	2763
214	753	2751
215	757	2748
216	763	2754
217	766	2748
218	768	2740
219	770	2733
220	772	2721
221	774	2715
222	777	2710
223	780	2703
224	782	2695
225	784	2688
226	787	2680
227	792	2683
228	794	2676
229	797	2668
230	798	2658
231	800	2651
232	803	2644
233	808	2646
234	811	2640
235	813	2632
236	815	2625
237	817	2618
238	822	2618
239	824	2612
240	827	2605
241	829	2598
242	831	2591
243	833	2581
244	838	2583
245	840	2577
246	843	2570
247	845	2563
248	847	2556
249	850	2550
250	854	2551
251	857	2546
252	860	2539
253	862	2533
254	864	2526
255	870	2528
256	872	2522
257	874	2515
258	876	2508
259	879	2502
260	884	2505
261	887	2499
262	889	2493
263	892	2486
264	894	2480
265	896	2474
266	900	2471
267	902	2465
268	904	2459
269	907	2453
270	909	2447
271	913	2446
272	916	2440
273	918	2434
274	921	2428
275	923	2423
276	929	2425
277	931	2419
278	934	2413
279	936	2407
280	938	2402
281	944	2403
282	946	2398
283	948	2392
284	951	2386
285	953	2380
286	956	2375
287	961	2377
288	964	2371
289	966	2366
290	967	2357
291	969	2351
292	974	2352
293	977	2346
294	979	2340
295	981	2335
296	983	2326
297	985	2322
298	990	2322
299	992	2316
300	995	2311
301	997	2305
302	999	2300
303	1002	2294
304	1006	2293
305	1008	2288
306	1011	2283
307	1014	2278
308	1016	2272
309	1018	2266
310	1023	2268
311	1026	2263
312	1031	2264
313	1037	2266
314	1040	2261
315	1042	2256
316	1044	2251
317	1047	2245
318	1049	2240
319	1054	2241
320	1057	2236
321	1059	2231
322	1062	2226
323	1064	2221
324	1073	2229
325	1075	2224
326	1078	2218
327	1080	2213
328	1087	2217
329	1089	2211
330	1091	2206
331	1093	2201
332	1096	2195
333	1101	2197
334	1104	2192
335	1106	2187
336	1109	2181
337	1111	2176
338	1117	2179
339	1120	2174
340	1122	2169
341	1124	2164
342	1127	2158
343	1131	2158
344	1134	2153
345	1136	2148
346	1138	2142
347	1141	2137
348	1147	2139
349	1149	2134
350	1152	2130
351	1154	2125
352	1157	2121
353	1162	2121
354	1164	2116
355	1167	2111
356	1169	2106
357	1171	2101
358	1178	2103
359	1180	2098
360	1182	2093
361	1185	2088
362	1187	2083
363	1189	2078
364	1195	2079
365	1197	2074
366	1199	2069
367	1202	2064
368	1204	2059
369	1209	2058
370	1211	2053
371	1213	2048
372	1215	2042
373	1217	2037
374	1220	2033
375	1224	2032
376	1227	2027
377	1229	2022
378	1231	2018
379	1234	2013
380	1238	2012
381	1241	2009
382	1244	2004
383	1246	1999
384	1248	1995
385	1251	1990
386	1256	1990
387	1259	1986
388	1261	1981
389	1263	1976
390	1266	1972
391	1271	1971
392	1273	1967
393	1276	1962
394	1278	1957
395	1281	1953
396	1285	1952
397	1288	1948
398	1291	1944
399	1293	1939
400	1295	1935
401	1297	1930
402	1300	1926
403	1302	1921
404	1305	1917
405	1307	1912
406	1314	1915
407	1317	1910
408	1319	1906
409	1321	1901
410	1324	1897
411	1329	1897
412	1331	1892
413	1334	1888
414	1336	1884
415	1339	1879
416	1346	1882
417	1349	1878
418	1351	1873
419	1354	1869
420	1356	1865
421	1359	1861
422	1361	1857
423	1363	1852
424	1366	1848
425	1368	1843
426	1374	1844
427	1377	1840
428	1379	1836
429	1381	1831
430	1384	1827
431	1389	1827
432	1392	1823
433	1394	1818
434	1396	1814
435	1399	1810
436	1404	1808
437	1406	1805
438	1409	1800
439	1411	1796
440	1414	1792
441	1419	1792
442	1422	1788
443	1424	1783
444	1426	1779
445	1435	1783
446	1437	1778
447	1440	1774
448	1442	1769
449	1444	1765
450	1446	1761
451	1451	1759
452	1453	1755
453	1456	1751
454	1458	1747
455	1461	1742
456	1466	1742
457	1468	1738
458	1470	1733
459	1473	1729
460	1475	1725
461	1477	1720
462	1483	1720
463	1485	1716
464	1488	1712
465	1490	1708
466	1493	1704
467	1497	1702
468	1500	1698
469	1502	1694
470	1504	1690
471	1507	1686
472	1509	1681
473	1513	1680
474	1516	1675
475	1519	1672
476	1521	1668
477	1524	1664
478	1530	1664
479	1532	1660
480	1534	1656
481	1537	1652
482	1539	1648
483	1545	1647
484	1547	1643
485	1550	1639
486	1552	1635
487	1554	1631
488	1560	1630
489	1563	1626
490	1565	1623
491	1567	1618
492	1570	1614
493	1575	1613
494	1578	1610
495	1581	1606
496	1583	1602
497	1585	1598
498	1591	1597
499	1593	1593
500	1596	1589
501	1598	1585
502	1600	1581
503	1603	1577
504	1608	1577
505	1611	1573
506	1613	1569
507	1616	1565
508	1618	1561
509	1623	1560
510	1626	1556
511	1628	1552
512	1631	1548
513	1633	1544
514	1638	1543
515	1641	1539
516	1643	1535
517	1645	1531
518	1648	1527
519	1653	1526
520	1655	1522
521	1657	1518
522	1659	1513
523	1661	1509
524	1663	1505
525	1670	1505
526	1672	1501
527	1675	1497
528	1677	1493
529	1679	1489
530	1684	1488
531	1687	1484
532	1689	1480
533	1692	1476
534	1694	1472
535	1700	1471
536	1702	1468
537	1705	1464
538	1707	1460
539	1709	1456
540	1711	1452
541	1716	1450
542	1719	1446
543	1721	1442
544	1724	1439
545	1726	1435
546	1730	1433
547	1732	1429
548	1735	1425
549	1737	1421
550	1739	1417
551	1742	1413
552	1747	1412
553	1749	1408
554	1752	1404
555	1754	1401
556	1757	1397
557	1762	1396
558	1765	1392
559	1767	1388
560	1769	1385
561	1772	1381
562	1777	1379
563	1779	1375
564	1781	1371
565	1784	1368
566	1786	1363
567	1788	1360
568	1793	1358
569	1795	1354
570	1797	1350
571	1800	1346
572	1802	1343
573	1804	1339
574	1810	1337
575	1812	1334
576	1814	1330
577	1817	1326
578	1819	1323
579	1824	1320
580	1826	1317
581	1828	1313
582	1830	1309
583	1832	1305
584	1835	1301
585	1840	1300
586	1843	1296
587	1845	1293
588	1847	1289
589	1849	1285
590	1855	1284
591	1857	1280
592	1860	1276
593	1862	1273
594	1865	1269
595	1870	1267
596	1872	1263
597	1874	1260
598	1877	1256
599	1879	1252
600	1881	1249
601	1886	1247
602	1888	1243
603	1890	1239
604	1893	1236
605	1895	1232
606	1897	1228
607	1905	1228
608	1907	1224
609	1909	1220
610	1918	1221
611	1920	1217
612	1922	1213
613	1925	1210
614	1927	1206
615	1933	1205
616	1936	1201
617	1938	1198
618	1940	1194
619	1943	1190
620	1948	1189
621	1951	1185
622	1953	1182
623	1955	1178
624	1958	1174
625	1962	1172
626	1965	1169
627	1967	1165
628	1969	1161
629	1972	1158
630	1974	1154
631	1980	1153
632	1982	1149
633	1984	1145
634	1986	1142
635	1988	1138
636	1990	1134
637	1996	1132
638	1998	1129
639	2000	1125
640	2003	1121
641	2005	1118
642	2009	1115
643	2012	1112
644	2014	1108
645	2016	1105
646	2019	1101
647	2021	1098
648	2025	1095
649	2028	1092
650	2030	1088
651	2033	1085
652	2035	1081
653	2041	1080
654	2044	1076
655	2046	1073
656	2049	1069
657	2051	1066
658	2058	1064
659	2060	1061
660	2062	1057
661	2065	1054
662	2067	1050
663	2073	1049
664	2075	1045
665	2078	1042
666	2080	1038
667	2082	1035
668	2088	1033
669	2090	1029
670	2093	1026
671	2095	1022
672	2097	1019
673	2103	1017
674	2105	1013
675	2107	1010
676	2110	1006
677	2112	1003
678	2115	999
679	2120	998
680	2123	994
681	2125	991
682	2127	987
683	2130	984
684	2136	982
685	2138	978
686	2140	975
687	2143	971
688	2145	968
689	2150	966
690	2153	962
691	2155	959
692	2157	955
693	2160	952
694	2167	951
695	2169	947
696	2171	944
697	2174	940
698	2179	938
699	2181	935
700	2184	931
701	2186	928
702	2188	924
703	2191	921
704	2197	919
705	2199	915
706	2201	912
707	2204	909
708	2206	905
709	2211	903
710	2214	900
711	2216	896
712	2218	893
713	2221	889
714	2225	887
715	2228	883
716	2230	880
717	2232	876
718	2234	873
719	2236	869
720	2242	867
721	2245	864
722	2247	861
723	2249	857
724	2252	854
725	2258	852
726	2261	849
727	2262	845
728	2264	841
729	2267	838
730	2272	836
731	2274	832
732	2278	829
733	2280	826
734	2283	823
735	2287	820
736	2290	817
737	2293	814
738	2295	810
739	2297	807
740	2299	803
741	2302	800
742	2305	797
743	2307	794
744	2310	790
745	2315	788
746	2318	785
747	2320	781
748	2322	778
749	2324	774
750	2327	771
751	2331	769
752	2334	765
753	2336	762
754	2338	758
755	2341	755
756	2345	753
757	2348	749
758	2350	746
759	2352	742
760	2354	739
761	2356	736
762	2361	733
763	2364	730
764	2366	726
765	2368	723
766	2370	720
767	2373	716
768	2378	714
769	2380	711
770	2383	707
771	2385	704
772	2387	701
773	2394	699
774	2396	695
775	2398	692
776	2401	689
777	2403	685
778	2408	683
779	2410	679
780	2413	676
781	2415	673
782	2417	670
783	2420	666
784	2423	663
785	2426	660
786	2428	657
787	2430	653
788	2436	651
789	2438	648
790	2441	644
791	2443	641
792	2445	638
793	2447	635
794	2450	631
795	2452	628
796	2455	625
797	2457	622
798	2460	618
799	2465	616
800	2468	613
801	2470	609
802	2472	606
803	2475	603
804	2480	600
805	2482	597
806	2485	594
807	2487	591
808	2489	587
809	2491	584
810	2495	581
811	2498	578
812	2501	575
813	2503	572
814	2506	568
815	2512	566
816	2514	563
817	2516	559
818	2519	556
819	2521	553
820	2527	551
821	2529	547
822	2532	544
823	2534	541
824	2536	538
825	2541	535
826	2543	532
827	2545	528
828	2547	525
829	2550	522
830	2552	519
831	2557	516
832	2559	513
833	2562	509
834	2564	506
835	2566	503
836	2568	500
837	2574	497
838	2576	494
839	2578	491
840	2580	487
841	2583	484
842	2585	481
843	2589	478
844	2591	475
845	2593	472
846	2595	468
847	2597	465
848	2599	462
849	2604	459
850	2607	456
851	2609	453
852	2611	450
853	2614	446
854	2619	444
855	2621	441
856	2624	437
857	2626	434
858	2628	431
859	2630	428
860	2635	425
861	2637	422
862	2639	419
863	2641	415
864	2643	412
865	2646	409
866	2651	406
867	2654	403
868	2656	400
869	2658	397
870	2660	394
871	2667	391
872	2670	388
873	2672	385
874	2674	382
875	2676	378
876	2682	376
877	2684	373
878	2687	369
879	2689	366
880	2691	363
881	2697	360
882	2700	357
883	2703	354
884	2705	351
885	2708	348
886	2714	345
887	2716	342
888	2718	339
889	2720	336
890	2723	333
891	2728	330
892	2731	327
893	2734	324
894	2736	321
895	2738	317
896	2745	315
897	2747	312
898	2750	308
899	2752	305
900	2754	302
901	2760	299
902	2763	296
903	2766	293
904	2768	290
905	2771	287
906	2775	284
907	2778	281
908	2780	278
909	2782	275
910	2785	272
911	2790	269
912	2793	266
913	2795	263
914	2798	259
915	2800	256
916	2806	254
917	2809	250
918	2811	247
919	2813	244
920	2815	241
921	2818	238
922	2822	235
923	2824	232
924	2826	229
925	2829	226
926	2831	222
927	2837	220
928	2840	217
929	2842	213
930	2844	210
931	2846	207
932	2853	204
933	2855	201
934	2858	198
935	2860	195
936	2862	192
937	2867	189
938	2869	186
939	2872	183
940	2874	180
941	2876	177
942	2879	174
943	2885	171
944	2887	168
945	2890	164
946	2892	161
947	2894	158
948	2901	155
949	2903	152
950	2905	149
951	2907	146
952	2910	143
953	2915	140
954	2917	137
955	2919	134
956	2921	131
957	2924	128
958	2930	125
959	2932	122
960	2935	119
961	2937	116
962	2939	112
963	2946	110
964	2948	106
965	2950	103
966	2953	100
967	2955	97
968	2960	94
969	2963	91
970	2965	88
971	2967	85
972	2970	82
